WigleWifi-1.4,appRelease=v2.55 Escape Edition,model=ESP32 Marauder,release=v2.55 Escape Edition,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
80:95:62:77:E4:50,,[WPA2],2025-6-7 2:36:2,11,-81,44.4481659,26.0647907,90.50,4.25,WIFI
80:95:62:77:E4:53,,[WPA2_PSK],2025-6-7 2:36:2,11,-81,44.4481659,26.0647907,90.50,4.25,WIFI
80:95:62:77:E4:54,,[WPA2],2025-6-7 2:36:2,11,-81,44.4481659,26.0647907,90.50,4.25,WIFI
80:95:62:77:E4:51,,[WPA2],2025-6-7 2:36:2,11,-82,44.4481659,26.0647907,90.50,4.25,WIFI
80:95:62:77:E4:52,Strabag_Guest,[WPA2_PSK],2025-6-7 2:36:2,11,-88,44.4481659,26.0647907,90.50,4.25,WIFI
D8:44:89:5E:41:54,Strabag_AIR 2.5,[WPA_WPA2_PSK],2025-6-7 2:36:2,11,-89,44.4481659,26.0647907,90.50,4.25,WIFI
20:23:51:A2:B0:1C,TP-Link_2.4GHz_A2B01C,[OPEN],2025-6-7 2:36:2,11,-91,44.4481659,26.0647907,90.50,4.25,WIFI
E0:F4:42:22:C1:85,HUAWEI-B311-C185,[WPA2_PSK],2025-6-7 2:36:2,3,-84,44.4481659,26.0647907,90.50,4.25,WIFI
E0:F4:42:22:C1:88,,[WPA2_PSK],2025-6-7 2:36:2,3,-86,44.4481659,26.0647907,90.50,4.25,WIFI
80:BE:AF:1D:ED:4F,,[WPA2_PSK],2025-6-7 2:36:2,4,-86,44.4481659,26.0647907,90.50,4.25,WIFI
10:C1:72:C2:43:D0,DIGI-e7eB,[WPA_WPA2_PSK],2025-6-7 2:36:2,6,-84,44.4481659,26.0647907,90.50,4.25,WIFI
6A:9A:4A:82:4C:9C,TP-Link_4C9C,[WPA2_PSK],2025-6-7 2:36:2,6,-91,44.4481659,26.0647907,90.50,4.25,WIFI
14:22:33:03:18:B8,DIGI_0318b8,[WPA2_PSK],2025-6-7 2:36:2,7,-77,44.4481659,26.0647907,90.50,4.25,WIFI
20:23:51:EF:41:43,LmmR4B,[WPA2_PSK],2025-6-7 2:36:2,7,-93,44.4481659,26.0647907,90.50,4.25,WIFI
64:6D:4E:FD:B2:F4,DIGI-5Jex,[WPA_WPA2_PSK],2025-6-7 2:36:2,7,-94,44.4481659,26.0647907,90.50,4.25,WIFI
E8:65:D4:7D:FA:78,Tenda_7DFA78,[WPA_WPA2_PSK],2025-6-7 2:36:10,8,-85,44.4468803,26.0623398,97.60,4.25,WIFI
B0:8B:92:ED:7E:40,DIGI-uGH2,[WPA2_PSK],2025-6-7 2:36:10,9,-86,44.4468803,26.0623398,97.60,4.25,WIFI
F4:1D:6B:F5:D7:E8,DIGI-PEnK,[WPA_WPA2_PSK],2025-6-7 2:36:13,11,-88,44.4464111,26.0618401,96.70,4.25,WIFI
30:21:31:4F:74:0C,W03_56390713,[WPA_WPA2_PSK],2025-6-7 2:36:13,11,-88,44.4464111,26.0618401,96.70,4.25,WIFI
68:4A:AE:F6:96:B8,DIGI-gJ9e,[WPA_WPA2_PSK],2025-6-7 2:36:13,11,-91,44.4464111,26.0618401,96.70,4.25,WIFI
40:EE:DD:F1:B0:30,DIGI-yw49,[WPA_WPA2_PSK],2025-6-7 2:36:13,11,-92,44.4464111,26.0618401,96.70,4.25,WIFI
9C:69:65:49:B3:F1,DIGI-uxP4,[WPA_WPA2_PSK],2025-6-7 2:36:14,12,-93,44.4462471,26.0616875,95.60,4.25,WIFI
54:E1:05:7D:E8:F1,The Moft,[WPA_WPA2_PSK],2025-6-7 2:36:14,12,-94,44.4462471,26.0616875,95.60,4.25,WIFI
54:E1:05:79:5E:21,DIGI-g2Ab,[WPA_WPA2_PSK],2025-6-7 2:36:14,12,-94,44.4462471,26.0616875,95.60,4.25,WIFI
38:43:7D:85:CC:D9,UPC4929272,[WPA_WPA2_PSK],2025-6-7 2:36:15,13,-92,44.4460869,26.0615520,95.60,4.25,WIFI
90:5C:44:05:57:70,UPC4D34834,[WPA_WPA2_PSK],2025-6-7 2:36:15,13,-94,44.4460869,26.0615520,95.60,4.25,WIFI
28:F8:D6:CC:58:01,DIGI-Xk2T,[WPA_WPA2_PSK],2025-6-7 2:36:15,13,-94,44.4460869,26.0615520,95.60,4.25,WIFI
0C:9D:92:02:FE:D8,Ap4105 2G,[WPA2_PSK],2025-6-7 2:36:16,2,-87,44.4459038,26.0614281,96.30,4.25,WIFI
7C:F1:7E:89:F2:EE,DIGI-5-4870_EXT,[WPA2_WPA3_PSK],2025-6-7 2:36:16,5,-88,44.4459038,26.0614281,96.30,4.25,WIFI
40:AE:30:03:C8:F7,CB Orhideea,[WPA2_PSK],2025-6-7 2:36:16,5,-90,44.4459038,26.0614281,96.30,4.25,WIFI
28:F8:D6:BB:EF:01,DIGI-mEJ2,[WPA_WPA2_PSK],2025-6-7 2:36:16,5,-94,44.4459038,26.0614281,96.30,4.25,WIFI
6A:A2:F4:08:2C:2D,,[WPA2_PSK],2025-6-7 2:36:16,5,-96,44.4459038,26.0614281,96.30,4.25,WIFI
00:1E:42:5C:5D:62,SCAME_EVSE,[WPA2_PSK],2025-6-7 2:36:16,6,-84,44.4459038,26.0614281,96.30,4.25,WIFI
C0:94:AD:3D:49:B4,DIGI_3d49b4,[WPA_WPA2_PSK],2025-6-7 2:36:16,6,-96,44.4459038,26.0614281,96.30,4.25,WIFI
6C:CD:D6:FD:01:99,Atypical Games 2G,[WPA2_PSK],2025-6-7 2:36:16,7,-93,44.4459038,26.0614281,96.30,4.25,WIFI
EC:75:0C:F1:B0:0F,DIGI-PJe3,[WPA_WPA2_PSK],2025-6-7 2:36:24,8,-94,44.4444389,26.0608921,92.20,4.25,WIFI
54:E1:05:7C:3C:A1,DIGI-CJ6s,[WPA_WPA2_PSK],2025-6-7 2:36:25,9,-92,44.4442978,26.0609875,85.30,4.25,WIFI
50:D4:F7:BB:C3:8A,TP-Link_C38A,[WPA2_PSK],2025-6-7 2:36:26,10,-84,44.4441338,26.0610561,77.90,4.25,WIFI
